Year,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason
2003,Arrivals,Bandar Seri Begawan,37,number,Number of flights,
2003,Arrivals,Guangzhou,0,number,Number of flights,
2003,Arrivals,Cairns,105,number,Number of flights,
2003,Arrivals,Denpasar,134,number,Number of flights,
2003,Arrivals,Dubai,365,number,Number of flights,
2003,Arrivals,Buenos Aires,112,number,Number of flights,
2003,Arrivals,Hong Kong,788,number,Number of flights,
2003,Arrivals,Honolulu,258,number,Number of flights,
2003,Arrivals,Osaka,541,number,Number of flights,
2003,Arrivals,Kuala Lumpur,370,number,Number of flights,
2003,Arrivals,Los Angeles,1788,number,Number of flights,
2003,Arrivals,London,365,number,Number of flights,
2003,Arrivals,Melbourne,3341,number,Number of flights,
2003,Arrivals,Nadi,954,number,Number of flights,
2003,Arrivals,Nagoya,144,number,Number of flights,
2003,Arrivals,Noumea,221,number,Number of flights,
2003,Arrivals,Tokyo,498,number,Number of flights,
2003,Arrivals,Coolangatta,631,number,Number of flights,
2003,Arrivals,Perth,211,number,Number of flights,
2003,Arrivals,Papeete,316,number,Number of flights,
2003,Arrivals,Rarotonga,428,number,Number of flights,
2003,Arrivals,Santiago,153,number,Number of flights,
2003,Arrivals,Seoul,463,number,Number of flights,
2003,Arrivals,San Francisco,0,number,Number of flights,
2003,Arrivals,Shanghai,9,number,Number of flights,
2003,Arrivals,Singapore,1368,number,Number of flights,
2003,Arrivals,Sydney,8214,number,Number of flights,
2003,Arrivals,Tonga,685,number,Number of flights,
2003,Arrivals,Taipei,175,number,Number of flights,
2003,Arrivals,Port Vila,107,number,Number of flights,
2003,Arrivals,Vancouver,0,number,Number of flights,
2003,Arrivals,Total all overseas ports,24748,number,Number of flights,
2003,Departures,Adelaide,4,number,Number of flights,
2003,Departures,Apia,563,number,Number of flights,
2003,Departures,Beijing,1,number,Number of flights,
2003,Departures,Bangkok,595,number,Number of flights,
2003,Departures,Brisbane,3282,number,Number of flights,
2003,Departures,Bandar Seri Begawan,37,number,Number of flights,
2003,Departures,Guangzhou,0,number,Number of flights,
2003,Departures,Cairns,106,number,Number of flights,
2003,Departures,Denpasar,138,number,Number of flights,
2003,Departures,Dubai,367,number,Number of flights,
2003,Departures,Buenos Aires,111,number,Number of flights,
2003,Departures,Hong Kong,842,number,Number of flights,
2003,Departures,Honolulu,210,number,Number of flights,
2003,Departures,Osaka,293,number,Number of flights,
2003,Departures,Kuala Lumpur,448,number,Number of flights,
2003,Departures,Los Angeles,2011,number,Number of flights,
2003,Departures,London,382,number,Number of flights,
2003,Departures,Melbourne,3429,number,Number of flights,
2003,Departures,Nadi,996,number,Number of flights,
2003,Departures,Nagoya,138,number,Number of flights,
2003,Departures,Noumea,238,number,Number of flights,
2003,Departures,Tokyo,367,number,Number of flights,
2003,Departures,Coolangatta,630,number,Number of flights,
2003,Departures,Perth,318,number,Number of flights,
2003,Departures,Papeete,375,number,Number of flights,
2003,Departures,Rarotonga,437,number,Number of flights,
2003,Departures,Santiago,155,number,Number of flights,
2003,Departures,Seoul,465,number,Number of flights,
2003,Departures,San Francisco,1,number,Number of flights,
2003,Departures,Shanghai,9,number,Number of flights,
2003,Departures,Singapore,1533,number,Number of flights,
2003,Departures,Sydney,8422,number,Number of flights,
2003,Departures,Tonga,603,number,Number of flights,
2003,Departures,Taipei,182,number,Number of flights,
2003,Departures,Port Vila,108,number,Number of flights,
2003,Departures,Vancouver,0,number,Number of flights,
2003,Departures,Total all overseas ports,25273,number,Number of flights,
2003,Total,Adelaide,10,number,Number of flights,
2003,Total,Apia,1162,number,Number of flights,
2003,Total,Beijing,2,number,Number of flights,
2003,Total,Bangkok,1115,number,Number of flights,
2003,Total,Brisbane,6489,number,Number of flights,
2003,Total,Bandar Seri Begawan,74,number,Number of flights,
2003,Total,Guangzhou,0,number,Number of flights,
2003,Total,Cairns,211,number,Number of flights,
2003,Total,Denpasar,272,number,Number of flights,
2003,Total,Dubai,732,number,Number of flights,
2003,Total,Buenos Aires,223,number,Number of flights,
2003,Total,Hong Kong,1630,number,Number of flights,
2003,Total,Honolulu,468,number,Number of flights,
2003,Total,Osaka,834,number,Number of flights,
2003,Total,Kuala Lumpur,818,number,Number of flights,
2003,Total,Los Angeles,3799,number,Number of flights,
2003,Total,London,747,number,Number of flights,
2003,Total,Melbourne,6770,number,Number of flights,
2003,Total,Nadi,1950,number,Number of flights,
2003,Total,Nagoya,282,number,Number of flights,
2003,Total,Noumea,459,number,Number of flights,
2003,Total,Tokyo,865,number,Number of flights,
2003,Total,Coolangatta,1261,number,Number of flights,
2003,Total,Perth,529,number,Number of flights,
2003,Total,Papeete,691,number,Number of flights,
2003,Total,Rarotonga,865,number,Number of flights,
2003,Total,Santiago,308,number,Number of flights,
2003,Total,Seoul,928,number,Number of flights,
2003,Total,San Francisco,1,number,Number of flights,
2003,Total,Shanghai,18,number,Number of flights,
2003,Total,Singapore,2901,number,Number of flights,
2003,Total,Sydney,16636,number,Number of flights,
2003,Total,Tonga,1288,number,Number of flights,
2003,Total,Taipei,357,number,Number of flights,
2003,Total,Port Vila,215,number,Number of flights,
2003,Total,Vancouver,0,number,Number of flights,
2003,Total,Total all overseas ports,50021,number,Number of flights,
2004,Arrivals,Adelaide,12,number,Number of flights,
2004,Arrivals,Apia,586,number,Number of flights,
2004,Arrivals,Beijing,0,number,Number of flights,
2004,Arrivals,Bangkok,520,number,Number of flights,
2004,Arrivals,Brisbane,4145,number,Number of flights,
2004,Arrivals,Bandar Seri Begawan,201,number,Number of flights,
2004,Arrivals,Guangzhou,0,number,Number of flights,
2004,Arrivals,Cairns,119,number,Number of flights,
2004,Arrivals,Denpasar,104,number,Number of flights,
2004,Arrivals,Dubai,1223,number,Number of flights,
2004,Arrivals,Buenos Aires,119,number,Number of flights,
2004,Arrivals,Hong Kong,934,number,Number of flights,
2004,Arrivals,Honolulu,258,number,Number of flights,
2004,Arrivals,Osaka,454,number,Number of flights,
2004,Arrivals,Kuala Lumpur,372,number,Number of flights,
2004,Arrivals,Los Angeles,1842,number,Number of flights,
2004,Arrivals,London,366,number,Number of flights,
2004,Arrivals,Melbourne,4544,number,Number of flights,
2004,Arrivals,Nadi,1160,number,Number of flights,
2004,Arrivals,Nagoya,148,number,Number of flights,
2004,Arrivals,Noumea,220,number,Number of flights,
2004,Arrivals,Tokyo,408,number,Number of flights,
2004,Arrivals,Coolangatta,590,number,Number of flights,
2004,Arrivals,Perth,249,number,Number of flights,
2004,Arrivals,Papeete,457,number,Number of flights,
2004,Arrivals,Rarotonga,438,number,Number of flights,
2004,Arrivals,Santiago,161,number,Number of flights,
2004,Arrivals,Seoul,618,number,Number of flights,
2004,Arrivals,San Francisco,80,number,Number of flights,
2004,Arrivals,Shanghai,9,number,Number of flights,
2004,Arrivals,Singapore,2027,number,Number of flights,
2004,Arrivals,Sydney,9103,number,Number of flights,
2004,Arrivals,Tonga,464,number,Number of flights,
2004,Arrivals,Taipei,189,number,Number of flights,
2004,Arrivals,Port Vila,133,number,Number of flights,
2004,Arrivals,Vancouver,0,number,Number of flights,
2004,Arrivals,Total all overseas ports,28495,number,Number of flights,
2004,Departures,Adelaide,14,number,Number of flights,
2004,Departures,Apia,595,number,Number of flights,
2004,Departures,Beijing,0,number,Number of flights,
2004,Departures,Bangkok,593,number,Number of flights,
2004,Departures,Brisbane,4186,number,Number of flights,
2004,Departures,Bandar Seri Begawan,200,number,Number of flights,
2004,Departures,Guangzhou,0,number,Number of flights,
2004,Departures,Cairns,123,number,Number of flights,
2004,Departures,Denpasar,110,number,Number of flights,
2004,Departures,Dubai,1234,number,Number of flights,
2004,Departures,Buenos Aires,120,number,Number of flights,
2004,Departures,Hong Kong,996,number,Number of flights,
2004,Departures,Honolulu,214,number,Number of flights,
2004,Departures,Osaka,304,number,Number of flights,
2004,Departures,Kuala Lumpur,481,number,Number of flights,
2004,Departures,Los Angeles,2086,number,Number of flights,
2004,Departures,London,375,number,Number of flights,
2004,Departures,Melbourne,4624,number,Number of flights,
2004,Departures,Nadi,1184,number,Number of flights,
2004,Departures,Nagoya,148,number,Number of flights,
2004,Departures,Noumea,226,number,Number of flights,
2004,Departures,Tokyo,372,number,Number of flights,
2004,Departures,Coolangatta,591,number,Number of flights,
2004,Departures,Perth,370,number,Number of flights,
2004,Departures,Papeete,488,number,Number of flights,
2004,Departures,Rarotonga,452,number,Number of flights,
2004,Departures,Santiago,163,number,Number of flights,
2004,Departures,Seoul,624,number,Number of flights,
2004,Departures,San Francisco,88,number,Number of flights,
2004,Departures,Shanghai,9,number,Number of flights,
2004,Departures,Singapore,2147,number,Number of flights,
2004,Departures,Sydney,9251,number,Number of flights,
2004,Departures,Tonga,479,number,Number of flights,
2004,Departures,Taipei,221,number,Number of flights,
2004,Departures,Port Vila,132,number,Number of flights,
2004,Departures,Vancouver,1,number,Number of flights,
2004,Departures,Total all overseas ports,29277,number,Number of flights,
2004,Total,Adelaide,26,number,Number of flights,
2004,Total,Apia,1181,number,Number of flights,
2004,Total,Beijing,0,number,Number of flights,
2004,Total,Bangkok,1113,number,Number of flights,
2004,Total,Brisbane,8331,number,Number of flights,
2004,Total,Bandar Seri Begawan,401,number,Number of flights,
2004,Total,Guangzhou,0,number,Number of flights,
2004,Total,Cairns,242,number,Number of flights,
2004,Total,Denpasar,214,number,Number of flights,
2004,Total,Dubai,2457,number,Number of flights,
2004,Total,Buenos Aires,239,number,Number of flights,
2004,Total,Hong Kong,1930,number,Number of flights,
2004,Total,Honolulu,472,number,Number of flights,
2004,Total,Osaka,758,number,Number of flights,
2004,Total,Kuala Lumpur,853,number,Number of flights,
2004,Total,Los Angeles,3928,number,Number of flights,
2004,Total,London,741,number,Number of flights,
2004,Total,Melbourne,9168,number,Number of flights,
2004,Total,Nadi,2344,number,Number of flights,
2004,Total,Nagoya,296,number,Number of flights,
2004,Total,Noumea,446,number,Number of flights,
2004,Total,Tokyo,780,number,Number of flights,
2004,Total,Coolangatta,1181,number,Number of flights,
2004,Total,Perth,619,number,Number of flights,
2004,Total,Papeete,945,number,Number of flights,
2004,Total,Rarotonga,890,number,Number of flights,
2004,Total,Santiago,324,number,Number of flights,
2004,Total,Seoul,1242,number,Number of flights,
2004,Total,San Francisco,168,number,Number of flights,
2004,Total,Shanghai,18,number,Number of flights,
2004,Total,Singapore,4174,number,Number of flights,
2004,Total,Sydney,18354,number,Number of flights,
2004,Total,Tonga,943,number,Number of flights,
2004,Total,Taipei,410,number,Number of flights,
2004,Total,Port Vila,265,number,Number of flights,
2004,Total,Vancouver,1,number,Number of flights,
2004,Total,Total all overseas ports,57772,number,Number of flights,
2005,Arrivals,Adelaide,158,number,Number of flights,
2005,Arrivals,Apia,555,number,Number of flights,
2005,Arrivals,Beijing,0,number,Number of flights,
2005,Arrivals,Bangkok,663,number,Number of flights,
2005,Arrivals,Brisbane,4656,number,Number of flights,
2005,Arrivals,Bandar Seri Begawan,155,number,Number of flights,
2005,Arrivals,Guangzhou,0,number,Number of flights,
2005,Arrivals,Cairns,131,number,Number of flights,
2005,Arrivals,Denpasar,104,number,Number of flights,
2005,Arrivals,Dubai,1450,number,Number of flights,
2005,Arrivals,Buenos Aires,172,number,Number of flights,
2005,Arrivals,Hong Kong,901,number,Number of flights,
2005,Arrivals,Honolulu,191,number,Number of flights,
2005,Arrivals,Osaka,317,number,Number of flights,
2005,Arrivals,Kuala Lumpur,371,number,Number of flights,
2005,Arrivals,Los Angeles,1610,number,Number of flights,
2005,Arrivals,London,366,number,Number of flights,
2005,Arrivals,Melbourne,4445,number,Number of flights,
2005,Arrivals,Nadi,1434,number,Number of flights,
2005,Arrivals,Nagoya,146,number,Number of flights,
2005,Arrivals,Noumea,221,number,Number of flights,
2005,Arrivals,Tokyo,385,number,Number of flights,
2005,Arrivals,Coolangatta,947,number,Number of flights,
2005,Arrivals,Perth,296,number,Number of flights,
2005,Arrivals,Papeete,438,number,Number of flights,
2005,Arrivals,Rarotonga,683,number,Number of flights,
2005,Arrivals,Santiago,217,number,Number of flights,
2005,Arrivals,Seoul,412,number,Number of flights,
2005,Arrivals,San Francisco,171,number,Number of flights,
2005,Arrivals,Shanghai,0,number,Number of flights,
2005,Arrivals,Singapore,1933,number,Number of flights,
2005,Arrivals,Sydney,9187,number,Number of flights,
2005,Arrivals,Tonga,499,number,Number of flights,
2005,Arrivals,Taipei,187,number,Number of flights,
2005,Arrivals,Port Vila,115,number,Number of flights,
2005,Arrivals,Vancouver,0,number,Number of flights,
2005,Arrivals,Total all overseas ports,29577,number,Number of flights,
2005,Departures,Adelaide,153,number,Number of flights,
2005,Departures,Apia,562,number,Number of flights,
2005,Departures,Beijing,0,number,Number of flights,
2005,Departures,Bangkok,714,number,Number of flights,
2005,Departures,Brisbane,4667,number,Number of flights,
2005,Departures,Bandar Seri Begawan,155,number,Number of flights,
2005,Departures,Guangzhou,0,number,Number of flights,
2005,Departures,Cairns,135,number,Number of flights,
2005,Departures,Denpasar,104,number,Number of flights,
2005,Departures,Dubai,1448,number,Number of flights,
2005,Departures,Buenos Aires,172,number,Number of flights,
2005,Departures,Hong Kong,981,number,Number of flights,
2005,Departures,Honolulu,175,number,Number of flights,
2005,Departures,Osaka,302,number,Number of flights,
2005,Departures,Kuala Lumpur,452,number,Number of flights,
2005,Departures,Los Angeles,1734,number,Number of flights,
2005,Departures,London,370,number,Number of flights,
2005,Departures,Melbourne,4471,number,Number of flights,
2005,Departures,Nadi,1455,number,Number of flights,
2005,Departures,Nagoya,147,number,Number of flights,
2005,Departures,Noumea,226,number,Number of flights,
2005,Departures,Tokyo,380,number,Number of flights,
2005,Departures,Coolangatta,948,number,Number of flights,
2005,Departures,Perth,377,number,Number of flights,
2005,Departures,Papeete,441,number,Number of flights,
2005,Departures,Rarotonga,690,number,Number of flights,
2005,Departures,Santiago,217,number,Number of flights,
2005,Departures,Seoul,415,number,Number of flights,
2005,Departures,San Francisco,178,number,Number of flights,
2005,Departures,Shanghai,50,number,Number of flights,
2005,Departures,Singapore,2015,number,Number of flights,
2005,Departures,Sydney,9307,number,Number of flights,
2005,Departures,Tonga,519,number,Number of flights,
2005,Departures,Taipei,238,number,Number of flights,
2005,Departures,Port Vila,115,number,Number of flights,
2005,Departures,Vancouver,0,number,Number of flights,
2005,Departures,Total all overseas ports,30258,number,Number of flights,
2005,Total,Adelaide,311,number,Number of flights,
2005,Total,Apia,1117,number,Number of flights,
2005,Total,Beijing,0,number,Number of flights,
2005,Total,Bangkok,1377,number,Number of flights,
2005,Total,Brisbane,9323,number,Number of flights,
2005,Total,Bandar Seri Begawan,310,number,Number of flights,
2005,Total,Guangzhou,0,number,Number of flights,
2005,Total,Cairns,266,number,Number of flights,
2005,Total,Denpasar,208,number,Number of flights,
2005,Total,Dubai,2898,number,Number of flights,
2005,Total,Buenos Aires,344,number,Number of flights,
2005,Total,Hong Kong,1882,number,Number of flights,
2005,Total,Honolulu,366,number,Number of flights,
2005,Total,Osaka,619,number,Number of flights,
2005,Total,Kuala Lumpur,823,number,Number of flights,
2005,Total,Los Angeles,3344,number,Number of flights,
2005,Total,London,736,number,Number of flights,
2005,Total,Melbourne,8916,number,Number of flights,
2005,Total,Nadi,2889,number,Number of flights,
2005,Total,Nagoya,293,number,Number of flights,
2005,Total,Noumea,447,number,Number of flights,
2005,Total,Tokyo,765,number,Number of flights,
2005,Total,Coolangatta,1895,number,Number of flights,
2005,Total,Perth,673,number,Number of flights,
2005,Total,Papeete,879,number,Number of flights,
2005,Total,Rarotonga,1373,number,Number of flights,
2005,Total,Santiago,434,number,Number of flights,
2005,Total,Seoul,827,number,Number of flights,
2005,Total,San Francisco,349,number,Number of flights,
2005,Total,Shanghai,50,number,Number of flights,
2005,Total,Singapore,3948,number,Number of flights,
2005,Total,Sydney,18494,number,Number of flights,
2005,Total,Tonga,1018,number,Number of flights,
2005,Total,Taipei,425,number,Number of flights,
2005,Total,Port Vila,230,number,Number of flights,
2005,Total,Vancouver,0,number,Number of flights,
2005,Total,Total all overseas ports,59835,number,Number of flights,
2006,Arrivals,Adelaide,272,number,Number of flights,
2006,Arrivals,Apia,509,number,Number of flights,
2006,Arrivals,Beijing,0,number,Number of flights,
2006,Arrivals,Bangkok,724,number,Number of flights,
2006,Arrivals,Brisbane,4774,number,Number of flights,
2006,Arrivals,Bandar Seri Begawan,154,number,Number of flights,
2006,Arrivals,Guangzhou,0,number,Number of flights,
2006,Arrivals,Cairns,173,number,Number of flights,
2006,Arrivals,Denpasar,93,number,Number of flights,
2006,Arrivals,Dubai,1452,number,Number of flights,
2006,Arrivals,Buenos Aires,166,number,Number of flights,
2006,Arrivals,Hong Kong,806,number,Number of flights,
2006,Arrivals,Honolulu,184,number,Number of flights,
2006,Arrivals,Osaka,280,number,Number of flights,
2006,Arrivals,Kuala Lumpur,309,number,Number of flights,
2006,Arrivals,Los Angeles,1616,number,Number of flights,
2006,Arrivals,London,427,number,Number of flights,
2006,Arrivals,Melbourne,3922,number,Number of flights,
2006,Arrivals,Nadi,1346,number,Number of flights,
2006,Arrivals,Nagoya,37,number,Number of flights,
2006,Arrivals,Noumea,224,number,Number of flights,
2006,Arrivals,Tokyo,365,number,Number of flights,
2006,Arrivals,Coolangatta,913,number,Number of flights,
2006,Arrivals,Perth,327,number,Number of flights,
2006,Arrivals,Papeete,388,number,Number of flights,
2006,Arrivals,Rarotonga,688,number,Number of flights,
2006,Arrivals,Santiago,286,number,Number of flights,
2006,Arrivals,Seoul,403,number,Number of flights,
2006,Arrivals,San Francisco,329,number,Number of flights,
2006,Arrivals,Shanghai,23,number,Number of flights,
2006,Arrivals,Singapore,1587,number,Number of flights,
2006,Arrivals,Sydney,8726,number,Number of flights,
2006,Arrivals,Tonga,477,number,Number of flights,
2006,Arrivals,Taipei,152,number,Number of flights,
2006,Arrivals,Port Vila,141,number,Number of flights,
2006,Arrivals,Vancouver,0,number,Number of flights,
2006,Arrivals,Total all overseas ports,29034,number,Number of flights,
2006,Departures,Adelaide,276,number,Number of flights,
2006,Departures,Apia,509,number,Number of flights,
2006,Departures,Beijing,1,number,Number of flights,
2006,Departures,Bangkok,765,number,Number of flights,
2006,Departures,Brisbane,4780,number,Number of flights,
2006,Departures,Bandar Seri Begawan,154,number,Number of flights,
2006,Departures,Guangzhou,0,number,Number of flights,
2006,Departures,Cairns,174,number,Number of flights,
2006,Departures,Denpasar,95,number,Number of flights,
2006,Departures,Dubai,1458,number,Number of flights,
2006,Departures,Buenos Aires,167,number,Number of flights,
2006,Departures,Hong Kong,888,number,Number of flights,
2006,Departures,Honolulu,188,number,Number of flights,
2006,Departures,Osaka,287,number,Number of flights,
2006,Departures,Kuala Lumpur,351,number,Number of flights,
2006,Departures,Los Angeles,1795,number,Number of flights,
2006,Departures,London,441,number,Number of flights,
2006,Departures,Melbourne,3986,number,Number of flights,
2006,Departures,Nadi,1385,number,Number of flights,
2006,Departures,Nagoya,37,number,Number of flights,
2006,Departures,Noumea,235,number,Number of flights,
2006,Departures,Tokyo,362,number,Number of flights,
2006,Departures,Coolangatta,916,number,Number of flights,
2006,Departures,Perth,403,number,Number of flights,
2006,Departures,Papeete,419,number,Number of flights,
2006,Departures,Rarotonga,712,number,Number of flights,
2006,Departures,Santiago,290,number,Number of flights,
2006,Departures,Seoul,423,number,Number of flights,
2006,Departures,San Francisco,344,number,Number of flights,
2006,Departures,Shanghai,100,number,Number of flights,
2006,Departures,Singapore,1668,number,Number of flights,
2006,Departures,Sydney,8712,number,Number of flights,
2006,Departures,Tonga,499,number,Number of flights,
2006,Departures,Taipei,167,number,Number of flights,
2006,Departures,Port Vila,140,number,Number of flights,
2006,Departures,Vancouver,0,number,Number of flights,
2006,Departures,Total all overseas ports,29685,number,Number of flights,
2006,Total,Adelaide,548,number,Number of flights,
2006,Total,Apia,1018,number,Number of flights,
2006,Total,Beijing,1,number,Number of flights,
2006,Total,Bangkok,1489,number,Number of flights,
2006,Total,Brisbane,9554,number,Number of flights,
2006,Total,Bandar Seri Begawan,308,number,Number of flights,
2006,Total,Guangzhou,0,number,Number of flights,
2006,Total,Cairns,347,number,Number of flights,
2006,Total,Denpasar,188,number,Number of flights,
2006,Total,Dubai,2910,number,Number of flights,
2006,Total,Buenos Aires,333,number,Number of flights,
2006,Total,Hong Kong,1694,number,Number of flights,
2006,Total,Honolulu,372,number,Number of flights,
2006,Total,Osaka,567,number,Number of flights,
2006,Total,Kuala Lumpur,660,number,Number of flights,
2006,Total,Los Angeles,3411,number,Number of flights,
2006,Total,London,868,number,Number of flights,
2006,Total,Melbourne,7908,number,Number of flights,
2006,Total,Nadi,2731,number,Number of flights,
2006,Total,Nagoya,74,number,Number of flights,
2006,Total,Noumea,459,number,Number of flights,
2006,Total,Tokyo,727,number,Number of flights,
2006,Total,Coolangatta,1829,number,Number of flights,
2006,Total,Perth,730,number,Number of flights,
2006,Total,Papeete,807,number,Number of flights,
2006,Total,Rarotonga,1400,number,Number of flights,
2006,Total,Santiago,576,number,Number of flights,
2006,Total,Seoul,826,number,Number of flights,
2006,Total,San Francisco,673,number,Number of flights,
2006,Total,Shanghai,123,number,Number of flights,
2006,Total,Singapore,3255,number,Number of flights,
2006,Total,Sydney,17438,number,Number of flights,
2006,Total,Tonga,976,number,Number of flights,
2006,Total,Taipei,319,number,Number of flights,
2006,Total,Port Vila,281,number,Number of flights,
2006,Total,Vancouver,0,number,Number of flights,
2006,Total,Total all overseas ports,58719,number,Number of flights,
2007,Arrivals,Adelaide,280,number,Number of flights,
2007,Arrivals,Apia,599,number,Number of flights,
2007,Arrivals,Beijing,0,number,Number of flights,
2007,Arrivals,Bangkok,725,number,Number of flights,
2007,Arrivals,Brisbane,4835,number,Number of flights,
2007,Arrivals,Bandar Seri Begawan,159,number,Number of flights,
2007,Arrivals,Guangzhou,0,number,Number of flights,
2007,Arrivals,Cairns,187,number,Number of flights,
2007,Arrivals,Denpasar,0,number,Number of flights,
2007,Arrivals,Dubai,1448,number,Number of flights,
2007,Arrivals,Buenos Aires,170,number,Number of flights,
2007,Arrivals,Hong Kong,868,number,Number of flights,
2007,Arrivals,Honolulu,164,number,Number of flights,
2007,Arrivals,Osaka,230,number,Number of flights,
2007,Arrivals,Kuala Lumpur,266,number,Number of flights,
2007,Arrivals,Los Angeles,1495,number,Number of flights,
2007,Arrivals,London,731,number,Number of flights,
2007,Arrivals,Melbourne,3812,number,Number of flights,
2007,Arrivals,Nadi,1221,number,Number of flights,
2007,Arrivals,Nagoya,1,number,Number of flights,
2007,Arrivals,Noumea,226,number,Number of flights,
2007,Arrivals,Tokyo,361,number,Number of flights,
2007,Arrivals,Coolangatta,806,number,Number of flights,
2007,Arrivals,Perth,307,number,Number of flights,
2007,Arrivals,Papeete,253,number,Number of flights,
2007,Arrivals,Rarotonga,644,number,Number of flights,
2007,Arrivals,Santiago,318,number,Number of flights,
2007,Arrivals,Seoul,372,number,Number of flights,
2007,Arrivals,San Francisco,365,number,Number of flights,
2007,Arrivals,Shanghai,177,number,Number of flights,
2007,Arrivals,Singapore,1343,number,Number of flights,
2007,Arrivals,Sydney,8260,number,Number of flights,
2007,Arrivals,Tonga,393,number,Number of flights,
2007,Arrivals,Taipei,111,number,Number of flights,
2007,Arrivals,Port Vila,159,number,Number of flights,
2007,Arrivals,Vancouver,25,number,Number of flights,
2007,Arrivals,Total all overseas ports,28012,number,Number of flights,
2007,Departures,Adelaide,284,number,Number of flights,
2007,Departures,Apia,596,number,Number of flights,
2007,Departures,Beijing,0,number,Number of flights,
2007,Departures,Bangkok,725,number,Number of flights,
2007,Departures,Brisbane,4847,number,Number of flights,
2007,Departures,Bandar Seri Begawan,159,number,Number of flights,
2007,Departures,Guangzhou,0,number,Number of flights,
2007,Departures,Cairns,188,number,Number of flights,
2007,Departures,Denpasar,2,number,Number of flights,
2007,Departures,Dubai,1448,number,Number of flights,
2007,Departures,Buenos Aires,171,number,Number of flights,
2007,Departures,Hong Kong,902,number,Number of flights,
2007,Departures,Honolulu,154,number,Number of flights,
2007,Departures,Osaka,174,number,Number of flights,
2007,Departures,Kuala Lumpur,267,number,Number of flights,
2007,Departures,Los Angeles,1539,number,Number of flights,
2007,Departures,London,730,number,Number of flights,
2007,Departures,Melbourne,3821,number,Number of flights,
2007,Departures,Nadi,1225,number,Number of flights,
2007,Departures,Nagoya,0,number,Number of flights,
2007,Departures,Noumea,232,number,Number of flights,
2007,Departures,Tokyo,362,number,Number of flights,
2007,Departures,Coolangatta,810,number,Number of flights,
2007,Departures,Perth,305,number,Number of flights,
2007,Departures,Papeete,257,number,Number of flights,
2007,Departures,Rarotonga,649,number,Number of flights,
2007,Departures,Santiago,316,number,Number of flights,
2007,Departures,Seoul,372,number,Number of flights,
2007,Departures,San Francisco,368,number,Number of flights,
2007,Departures,Shanghai,234,number,Number of flights,
2007,Departures,Singapore,1385,number,Number of flights,
2007,Departures,Sydney,8252,number,Number of flights,
2007,Departures,Tonga,398,number,Number of flights,
2007,Departures,Taipei,112,number,Number of flights,
2007,Departures,Port Vila,158,number,Number of flights,
2007,Departures,Vancouver,26,number,Number of flights,
2007,Departures,Total all overseas ports,28160,number,Number of flights,
2007,Total,Adelaide,564,number,Number of flights,
2007,Total,Apia,1195,number,Number of flights,
2007,Total,Beijing,0,number,Number of flights,
2007,Total,Bangkok,1450,number,Number of flights,
2007,Total,Brisbane,9682,number,Number of flights,
2007,Total,Bandar Seri Begawan,318,number,Number of flights,
2007,Total,Guangzhou,0,number,Number of flights,
2007,Total,Cairns,375,number,Number of flights,
2007,Total,Denpasar,2,number,Number of flights,
2007,Total,Dubai,2896,number,Number of flights,
2007,Total,Buenos Aires,341,number,Number of flights,
2007,Total,Hong Kong,1770,number,Number of flights,
2007,Total,Honolulu,318,number,Number of flights,
2007,Total,Osaka,404,number,Number of flights,
2007,Total,Kuala Lumpur,533,number,Number of flights,
2007,Total,Los Angeles,3034,number,Number of flights,
2007,Total,London,1461,number,Number of flights,
2007,Total,Melbourne,7633,number,Number of flights,
2007,Total,Nadi,2446,number,Number of flights,
2007,Total,Nagoya,1,number,Number of flights,
2007,Total,Noumea,458,number,Number of flights,
2007,Total,Tokyo,723,number,Number of flights,
2007,Total,Coolangatta,1616,number,Number of flights,
2007,Total,Perth,612,number,Number of flights,
2007,Total,Papeete,510,number,Number of flights,
2007,Total,Rarotonga,1293,number,Number of flights,
2007,Total,Santiago,634,number,Number of flights,
2007,Total,Seoul,744,number,Number of flights,
2007,Total,San Francisco,733,number,Number of flights,
2007,Total,Shanghai,411,number,Number of flights,
2007,Total,Singapore,2728,number,Number of flights,
2007,Total,Sydney,16512,number,Number of flights,
2007,Total,Tonga,791,number,Number of flights,
2007,Total,Taipei,223,number,Number of flights,
2007,Total,Port Vila,317,number,Number of flights,
2007,Total,Vancouver,51,number,Number of flights,
2007,Total,Total all overseas ports,56172,number,Number of flights,
2008,Arrivals,Adelaide,303,number,Number of flights,
2008,Arrivals,Apia,646,number,Number of flights,
2008,Arrivals,Beijing,35,number,Number of flights,
2008,Arrivals,Bangkok,636,number,Number of flights,
2008,Arrivals,Brisbane,5118,number,Number of flights,
2008,Arrivals,Bandar Seri Begawan,278,number,Number of flights,
2008,Arrivals,Guangzhou,0,number,Number of flights,
2008,Arrivals,Cairns,201,number,Number of flights,
2008,Arrivals,Denpasar,0,number,Number of flights,
2008,Arrivals,Dubai,1460,number,Number of flights,
2008,Arrivals,Buenos Aires,199,number,Number of flights,
2008,Arrivals,Hong Kong,1013,number,Number of flights,
2008,Arrivals,Honolulu,161,number,Number of flights,
2008,Arrivals,Osaka,257,number,Number of flights,
2008,Arrivals,Kuala Lumpur,251,number,Number of flights,
2008,Arrivals,Los Angeles,1335,number,Number of flights,
2008,Arrivals,London,732,number,Number of flights,
