Month,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason,Metadata 1
1997-09,Total,Singapore,146,number,Number of flights,
1997-09,Total,Sydney,740,number,Number of flights,
1997-09,Total,Tonga,47,number,Number of flights,
1997-09,Total,Taipei,52,number,Number of flights,
1997-09,Total,Port Vila,18,number,Number of flights,
1997-09,Total,Vancouver,37,number,Number of flights,
1997-09,Total,Total,2639,number,Number of flights,
1997-10,Arrivals,Adelaide,0,number,Number of flights,
1997-10,Arrivals,Apia,31,number,Number of flights,
1997-10,Arrivals,Beijing,0,number,Number of flights,
1997-10,Arrivals,Bangkok,30,number,Number of flights,
1997-10,Arrivals,Brisbane,200,number,Number of flights,
1997-10,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1997-10,Arrivals,Guangzhou,0,number,Number of flights,
1997-10,Arrivals,Cairns,14,number,Number of flights,
1997-10,Arrivals,Denpasar,18,number,Number of flights,
1997-10,Arrivals,Dubai,0,number,Number of flights,
1997-10,Arrivals,Buenos Aires,9,number,Number of flights,
1997-10,Arrivals,Hong Kong,36,number,Number of flights,
1997-10,Arrivals,Honolulu,49,number,Number of flights,
1997-10,Arrivals,Osaka,26,number,Number of flights,
1997-10,Arrivals,Kuala Lumpur,21,number,Number of flights,
1997-10,Arrivals,Los Angeles,144,number,Number of flights,
1997-10,Arrivals,London,21,number,Number of flights,
1997-10,Arrivals,Melbourne,153,number,Number of flights,
1997-10,Arrivals,Nadi,110,number,Number of flights,
1997-10,Arrivals,Nagoya,14,number,Number of flights,
1997-10,Arrivals,Noumea,14,number,Number of flights,
1997-10,Arrivals,Tokyo,33,number,Number of flights,
1997-10,Arrivals,Coolangatta,8,number,Number of flights,
1997-10,Arrivals,Perth,9,number,Number of flights,
1997-10,Arrivals,Papeete,18,number,Number of flights,
1997-10,Arrivals,Rarotonga,15,number,Number of flights,
1997-10,Arrivals,Santiago,0,number,Number of flights,
1997-10,Arrivals,Seoul,66,number,Number of flights,
1997-10,Arrivals,San Francisco,0,number,Number of flights,
1997-10,Arrivals,Shanghai,0,number,Number of flights,
1997-10,Arrivals,Singapore,70,number,Number of flights,
1997-10,Arrivals,Sydney,391,number,Number of flights,
1997-10,Arrivals,Tonga,23,number,Number of flights,
1997-10,Arrivals,Taipei,27,number,Number of flights,
1997-10,Arrivals,Port Vila,7,number,Number of flights,
1997-10,Arrivals,Vancouver,24,number,Number of flights,
1997-10,Arrivals,Total,1355,number,Number of flights,
1997-10,Departures,Adelaide,0,number,Number of flights,
1997-10,Departures,Apia,35,number,Number of flights,
1997-10,Departures,Beijing,0,number,Number of flights,
1997-10,Departures,Bangkok,31,number,Number of flights,
1997-10,Departures,Brisbane,217,number,Number of flights,
1997-10,Departures,Bandar Seri Begawan,0,number,Number of flights,
1997-10,Departures,Guangzhou,0,number,Number of flights,
1997-10,Departures,Cairns,14,number,Number of flights,
1997-10,Departures,Denpasar,22,number,Number of flights,
1997-10,Departures,Dubai,0,number,Number of flights,
